<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,104501,158.20000,20
GAZP,0,20121008,104501,158.20000,150
GAZP,0,20121008,104501,158.19000,20
GAZP,0,20121008,104501,158.19000,250
GAZP,0,20121008,104506,158.20000,280
GAZP,0,20121008,104506,158.19000,100
GAZP,0,20121008,104506,158.19000,20
GAZP,0,20121008,104506,158.18000,280
GAZP,0,20121008,104506,158.18000,120
GAZP,0,20121008,104509,158.21000,600
GAZP,0,20121008,104509,158.21000,400
GAZP,0,20121008,104513,158.21000,240
GAZP,0,20121008,104514,158.21000,400
GAZP,0,20121008,104525,158.23000,30
GAZP,0,20121008,104525,158.23000,90
GAZP,0,20121008,104525,158.23000,100
GAZP,0,20121008,104525,158.23000,100
GAZP,0,20121008,104525,158.23000,400
GAZP,0,20121008,104525,158.23000,400
GAZP,0,20121008,104525,158.23000,400
GAZP,0,20121008,104526,158.23000,300
GAZP,0,20121008,104526,158.23000,100
GAZP,0,20121008,104526,158.24000,70
GAZP,0,20121008,104528,158.23000,300
GAZP,0,20121008,104534,158.24000,160
GAZP,0,20121008,104538,158.23000,70
GAZP,0,20121008,104539,158.24000,60
GAZP,0,20121008,104539,158.23000,510
GAZP,0,20121008,104540,158.21000,200
GAZP,0,20121008,104542,158.20000,300
GAZP,0,20121008,104542,158.20000,300
GAZP,0,20121008,104542,158.20000,400
GAZP,0,20121008,104601,158.18000,240
GAZP,0,20121008,104625,158.15000,20
GAZP,0,20121008,104625,158.13000,20
GAZP,0,20121008,104625,158.13000,760
GAZP,0,20121008,104626,158.13000,600
GAZP,0,20121008,104626,158.13000,600
GAZP,0,20121008,104626,158.13000,40
GAZP,0,20121008,104626,158.12000,10
GAZP,0,20121008,104626,158.12000,20
GAZP,0,20121008,104626,158.12000,130
GAZP,0,20121008,104633,158.20000,10
GAZP,0,20121008,104633,158.18000,20
GAZP,0,20121008,104649,158.20000,60
GAZP,0,20121008,104701,158.18000,240
GAZP,0,20121008,104712,158.20000,20
GAZP,0,20121008,104713,158.20000,290
GAZP,0,20121008,104715,158.18000,240
GAZP,0,20121008,104715,158.18000,90
GAZP,0,20121008,104715,158.18000,70
GAZP,0,20121008,104717,158.16000,320
GAZP,0,20121008,104721,158.19000,30
GAZP,0,20121008,104721,158.19000,50
GAZP,0,20121008,104721,158.19000,10
GAZP,0,20121008,104721,158.19000,310
GAZP,0,20121008,104721,158.20000,400
GAZP,0,20121008,104721,158.20000,100
GAZP,0,20121008,104722,158.20000,10
GAZP,0,20121008,104722,158.20000,60
GAZP,0,20121008,104722,158.20000,10
GAZP,0,20121008,104722,158.20000,100
GAZP,0,20121008,104722,158.20000,10
GAZP,0,20121008,104722,158.20000,50
GAZP,0,20121008,104722,158.20000,70
GAZP,0,20121008,104723,158.20000,30
GAZP,0,20121008,104723,158.20000,60
GAZP,0,20121008,104723,158.20000,1120
GAZP,0,20121008,104723,158.20000,400
GAZP,0,20121008,104723,158.20000,8600
GAZP,0,20121008,104724,158.20000,70
GAZP,0,20121008,104725,158.20000,70
GAZP,0,20121008,104725,158.20000,940
GAZP,0,20121008,104725,158.20000,80
GAZP,0,20121008,104725,158.20000,10
GAZP,0,20121008,104726,158.20000,1260
GAZP,0,20121008,104726,158.20000,90
GAZP,0,20121008,104726,158.20000,10
GAZP,0,20121008,104726,158.20000,4000
GAZP,0,20121008,104726,158.20000,20
GAZP,0,20121008,104726,158.20000,1030
GAZP,0,20121008,104726,158.20000,360
GAZP,0,20121008,104726,158.20000,80
GAZP,0,20121008,104726,158.20000,20
GAZP,0,20121008,104726,158.20000,100
GAZP,0,20121008,104726,158.20000,20
GAZP,0,20121008,104726,158.20000,40
GAZP,0,20121008,104726,158.20000,70
GAZP,0,20121008,104726,158.20000,7820
GAZP,0,20121008,104726,158.20000,50
GAZP,0,20121008,104726,158.24000,510
GAZP,0,20121008,104726,158.24000,10
GAZP,0,20121008,104726,158.24000,150
GAZP,0,20121008,104726,158.24000,850
GAZP,0,20121008,104736,158.24000,20
GAZP,0,20121008,104737,158.24000,30
GAZP,0,20121008,104738,158.25000,20
GAZP,0,20121008,104743,158.26000,60
GAZP,0,20121008,104743,158.25000,100
GAZP,0,20121008,104744,158.25000,100
GAZP,0,20121008,104744,158.25000,40
GAZP,0,20121008,104748,158.26000,980
GAZP,0,20121008,104748,158.26000,20
GAZP,0,20121008,104748,158.26000,100
GAZP,0,20121008,104749,158.26000,50
GAZP,0,20121008,104752,158.26000,1000
GAZP,0,20121008,104801,158.25000,240
GAZP,0,20121008,104802,158.26000,50
GAZP,0,20121008,104804,158.26000,10
GAZP,0,20121008,104804,158.26000,30
GAZP,0,20121008,104804,158.26000,150
GAZP,0,20121008,104804,158.26000,400
GAZP,0,20121008,104804,158.26000,150
GAZP,0,20121008,104805,158.26000,20
GAZP,0,20121008,104805,158.27000,430
GAZP,0,20121008,104805,158.27000,30
GAZP,0,20121008,104805,158.27000,1520
GAZP,0,20121008,104805,158.27000,10
GAZP,0,20121008,104809,158.27000,30
GAZP,0,20121008,104809,158.28000,1200
GAZP,0,20121008,104809,158.28000,2700
GAZP,0,20121008,104809,158.28000,300
GAZP,0,20121008,104809,158.28000,30
GAZP,0,20121008,104809,158.28000,740
GAZP,0,20121008,104811,158.29000,100
GAZP,0,20121008,104812,158.29000,150
GAZP,0,20121008,104812,158.29000,850
GAZP,0,20121008,104821,158.28000,40
